timeframe,asset,version,rows,model_mae,model_rmse,model_mape,dir_acc,corr_r,naive_mae,naive_rmse,naive_mape,plot_file,sample_file
15m,BTC-USD,v1,482,180.3597536307052,244.97202438462827,0.002680510589786405,0.5020746887966805,0.038398307478176796,118.09593360995818,170.82458193162987,0.001755342365825227,plots\15m__BTC-USD__v1.png,sample_outputs\15m__BTC-USD__v1__sample.csv
15m,BTC-USD,v2,482,118.62718591694048,172.06457951473084,0.0017633158797797554,0.495850622406639,0.06072702242291713,118.09593360995818,170.82458193162987,0.001755342365825227,plots\15m__BTC-USD__v2.png,sample_outputs\15m__BTC-USD__v2__sample.csv
15m,BTC-USD,v3,482,119.6656741592327,172.70038867972005,0.0017788742737822247,0.5020746887966805,-0.019745944807308242,118.09593360995818,170.82458193162987,0.001755342365825227,plots\15m__BTC-USD__v3.png,sample_outputs\15m__BTC-USD__v3__sample.csv
15m,BTC-USD,v3a,482,118.00717513391291,170.65866906553043,0.0017541012032584935,0.508298755186722,0.04568099209745645,118.09593360995818,170.82458193162987,0.001755342365825227,plots\15m__BTC-USD__v3a.png,sample_outputs\15m__BTC-USD__v3a__sample.csv
15m,BTC-USD,v3b,482,118.79877420432528,171.67315378423766,0.0017658420351524718,0.5020746887966805,-0.0070406411096676025,118.09593360995818,170.82458193162987,0.001755342365825227,plots\15m__BTC-USD__v3b.png,sample_outputs\15m__BTC-USD__v3b__sample.csv
15m,BTC-USD,v4,481,103.56498704454596,152.7804979747057,0.0015111435046308622,0.5301455301455301,0.018231612696325065,98.45338877338887,144.86101792383417,0.001435944275876084,plots\15m__BTC-USD__v4.png,sample_outputs\15m__BTC-USD__v4__sample.csv
15m,ETH-USD,v1,482,7.50762774328968,10.235847624098225,0.003626335783375833,0.5062240663900415,0.031181001049617577,4.542655601659743,6.768475039242325,0.0021960492770703864,plots\15m__ETH-USD__v1.png,sample_outputs\15m__ETH-USD__v1__sample.csv
15m,ETH-USD,v2,482,4.575818698418957,6.753332086307215,0.0022120309409455665,0.516597510373444,0.07607325488487608,4.542655601659743,6.768475039242325,0.0021960492770703864,plots\15m__ETH-USD__v2.png,sample_outputs\15m__ETH-USD__v2__sample.csv
15m,ETH-USD,v3,482,4.551883388835029,6.794090609364324,0.0022005614738772415,0.504149377593361,-0.00816342956246219,4.542655601659743,6.768475039242325,0.0021960492770703864,plots\15m__ETH-USD__v3.png,sample_outputs\15m__ETH-USD__v3__sample.csv
15m,ETH-USD,v3a,482,4.54350631691544,6.779640288996563,0.0021965219348598426,0.5062240663900415,-0.026751842314557742,4.542655601659743,6.768475039242325,0.0021960492770703864,plots\15m__ETH-USD__v3a.png,sample_outputs\15m__ETH-USD__v3a__sample.csv
