time,target_time,last_close,pred_next_close,naive_next_close,actual_next_close,pi95_lower,pi95_upper
2026-03-26 14:00:00+00:00,2026-03-26 14:30:00+00:00,69572.89,69549.15360474249,69572.89,69432.65,69195.25438669955,69904.86284079374
2026-03-26 14:30:00+00:00,2026-03-26 15:00:00+00:00,69432.65,69412.19232771607,69432.65,68979.5,69061.24561195415,69764.92244017484
2026-03-26 15:00:00+00:00,2026-03-26 15:30:00+00:00,68979.5,68971.59260956777,68979.5,69035.84,68580.49672352946,69364.91880887856
2026-03-26 15:30:00+00:00,2026-03-26 16:00:00+00:00,69035.84,69031.65971493667,69035.84,68836.98,68642.27034718388,69423.25798514787
2026-03-26 16:00:00+00:00,2026-03-26 16:30:00+00:00,68836.98,68834.28466154427,68836.98,68881.49,68448.24419147012,69222.50235685325
2026-03-26 16:30:00+00:00,2026-03-26 17:00:00+00:00,68881.49,68867.91131957251,68881.49,69036.84,68483.91898477248,69254.0567162208
2026-03-26 17:00:00+00:00,2026-03-26 17:30:00+00:00,69036.84,68993.51716074966,69036.84,68437.5,68611.06535032882,69378.10083410758
2026-03-26 17:30:00+00:00,2026-03-26 18:00:00+00:00,68437.5,68426.65974824879,68437.5,68139.95,68008.22338931452,68847.6706338763
2026-03-26 18:00:00+00:00,2026-03-26 18:30:00+00:00,68139.95,68137.8510971613,68139.95,68431.78,67718.608268651,68559.68943898399
2026-03-26 18:30:00+00:00,2026-03-26 19:00:00+00:00,68431.78,68429.65921607275,68431.78,,67991.90407576316,68870.23277374353
